Dependency,Version
libncursesw5:amd64,6.1+20181013-2+deb10u3
libncursesw6:amd64,6.1+20181013-2+deb10u3
libndctl6,63-1.3
libnet-daemon-perl,0.48-1.1
libnet-http-perl,6.18-1
libnet-ssleay-perl,1.85-2+deb10u1
libnet1:amd64,1.1.6+dfsg-3.1
libnetfilter-acct1:amd64,1.0.3-2
libnetfilter-conntrack3:amd64,1.0.7-1
libnettle6:amd64,3.4.1-1+deb10u1
libnewt0.52:amd64,0.52.20-8
libnfnetlink0:amd64,1.0.1-3+b1
libnftnl11:amd64,1.1.2-2
libnghttp2-14:amd64,1.36.0-2+deb10u1
libnih-dbus1,1.0.3-10+b2
libnih1,1.0.3-10+b2
libnl-3-200:amd64,3.4.0-1
libnl-genl-3-200:amd64,3.4.0-1
libnl-route-3-200:amd64,3.4.0-1
libnpth0:amd64,1.6-1
libnspr4:amd64,2:4.20-1
libnss3:amd64,2:3.42.1-1+deb10u6
libnuma1:amd64,2.0.12-1
libonig5:amd64,6.9.1-1
libopencsd0:amd64,0.10.1-1
libopenjp2-7:amd64,2.3.0-2+deb10u2
liboping0:amd64,1.10.0-2.1+b1
libopts25:amd64,1:5.18.12-4
libossp-uuid16:amd64,1.6.2-1.5+b7
libp11-kit0:amd64,0.23.15-2+deb10u1
libpackagekit-glib2-18:amd64,1.1.12-5
libpam-cap:amd64,1:2.25-2
libpam-modules-bin,1.3.1-5
libpam-modules:amd64,1.3.1-5
libpam-runtime,1.3.1-5
libpam-systemd:amd64,241-7~deb10u9
libpam-unix2,1:2.6-2+github1
libpam0g:amd64,1.3.1-5
libpango-1.0-0:amd64,1.42.4-8~deb10u1
libpango1.0-0:amd64,1.42.4-8~deb10u1
libpangocairo-1.0-0:amd64,1.42.4-8~deb10u1
libpangoft2-1.0-0:amd64,1.42.4-8~deb10u1
libpangox-1.0-0:amd64,0.0.2-5+b2
libpangoxft-1.0-0:amd64,1.42.4-8~deb10u1
libparted2:amd64,3.2-25
libpcap0.8:amd64,1.8.1-6+deb10u1
libpci3:amd64,1:3.5.2-1
libpcre2-8-0:amd64,10.32-5+deb10u1
libpcre3:amd64,2:8.39-12
libpcsclite1:amd64,1.8.24-1
libperl4-corelibs-perl,0.004-1+deb10u1
libperl5.28:amd64,5.28.1-6+deb10u1
libpipeline1:amd64,1.5.1-2
libpixman-1-0:amd64,0.36.0-1+deb10u1
libpkcs11-helper1:amd64,1.25.1-1
libplymouth4:amd64,0.9.4-1.1
libpmem1,1.5.1-1
libpmemblk1,1.5.1-1
libpng16-16:amd64,1.6.36-6
libpod-latex-perl,0.61-2
libpopt0:amd64,1.16-12
libpq5:amd64,11.20-0+deb10u1
libprocps7:amd64,2:3.3.15-2
libprotobuf-c1:amd64,1.3.1-1+b1
libpsl5:amd64,0.20.2-2
libpython3-stdlib:amd64,3.7.3-1
libpython3.7-minimal:amd64,3.7.3-2+deb10u4
libpython3.7-stdlib:amd64,3.7.3-2+deb10u4
libpython3.7:amd64,3.7.3-2+deb10u4
libquadmath0:amd64,8.3.0-6
librabbitmq4:amd64,0.9.0-0.2
librados2:amd64,12.2.11+dfsg1-2.1+b1
librbd1:amd64,12.2.11+dfsg1-2.1+b1
librdkafka1:amd64,0.11.6-1.1
librdmacm1:amd64,22.1-1
libreadline5:amd64,5.2+dfsg-3+b13
libreadline7:amd64,7.0-5
librelp0:amd64,1.3.0-1
librrd8:amd64,1.7.1-2
librtmp1:amd64,2.4+20151223.gitfa8646d.1-2
libsasl2-2:amd64,2.1.27+dfsg-1+deb10u2
libsasl2-modules-db:amd64,2.1.27+dfsg-1+deb10u2
libsasl2-modules:amd64,2.1.27+dfsg-1+deb10u2
libseccomp2:amd64,2.3.3-4
libselinux1:amd64,2.8-1+b1
libsemanage-common,2.8-2
libsemanage1:amd64,2.8-2
libsensors-config,1:3.5.0-3
libsensors5:amd64,1:3.5.0-3
libsepol1:amd64,2.8-1
libserf-1-1:amd64,1.3.9-7+b10
libsigc++-2.0-0v5:amd64,2.10.1-2
libsigsegv2:amd64,2.12-2
libslang2:amd64,2.3.2-2
libsm6:amd64,2:1.2.3-1
libsmartcols1:amd64,2.33.1-0.1
libsnappy1v5:amd64,1.1.7-1
libsnmp-base,5.7.3+dfsg-5+deb10u4
libsnmp30:amd64,5.7.3+dfsg-5+deb10u4
libsodium23:amd64,1.0.17-1
libsqlite3-0:amd64,3.27.2-3+deb10u2
libss2:amd64,1.44.5-1+deb10u3
libssh2-1:amd64,1.8.0-2.1
libssl-dev:amd64,1.1.1n-0+deb10u4
libssl1.1:amd64,1.1.1n-0+deb10u4
libstdc++-8-dev:amd64,8.3.0-6
libstdc++6:amd64,8.3.0-6
libsvn1:amd64,1.10.4-1+deb10u3
libswitch-perl,2.17-2
libsystemd0:amd64,241-7~deb10u9
libtasn1-6:amd64,4.13-3+deb10u1
libtcmalloc-minimal4:amd64,2.7-1
libterm-readkey-perl,2.38-1
libterm-ui-perl,0.46-1
libtext-charwidth-perl,0.04-7.1+b1
libtext-iconv-perl,1.7-5+b7
libtext-soundex-perl,3.4-1+b7
libtext-wrapi18n-perl,0.06-7.1
libthai-data,0.1.28-2
libthai0:amd64,0.1.28-2
libtiff5:amd64,4.1.0+git191117-2~deb10u7
libtimedate-perl,2.3000-2+deb10u1
libtinfo5:amd64,6.1+20181013-2+deb10u3
libtinfo6:amd64,6.1+20181013-2+deb10u3
libtirpc-common,1.1.4-0.4+deb10u1
libtirpc3:amd64,1.1.4-0.4+deb10u1
libtomcrypt1:amd64,1.18.2-1
libtommath1:amd64,1.1.0-3
libtry-tiny-perl,0.30-1
libtsan0:amd64,8.3.0-6
libtspi1,0.3.14+fixed1-1
libubsan0:amd64,7.4.0-6
libubsan1:amd64,8.3.0-6
libuchardet0:amd64,0.0.6-3
libudev1:amd64,241-7~deb10u9
libunistring2:amd64,0.9.10-1
libunwind-dev:amd64,1.2.1-10~deb10u1
libunwind8:amd64,1.2.1-10~deb10u1
liburi-perl,1.76-1
libusb-0.1-4:amd64,2:0.1.12-32
libustr-1.0-1:amd64,1.0.4-6
libutempter0:amd64,1.1.6-3
libutf8proc2:amd64,2.3.0-1
libuuid-perl,0.28-1
libuuid1:amd64,2.33.1-0.1
libuv1:amd64,1.24.1-1+deb10u1
libvarnishapi2:amd64,6.1.1-1+deb10u4
libwebp6:amd64,0.6.1-2+deb10u1
libwebpmux3:amd64,0.6.1-2+deb10u1
libwrap0:amd64,7.6.q-28
libwww-perl,6.36-2
libwww-robotrules-perl,6.02-1
libx11-6:amd64,2:1.6.7-1+deb10u2
libx11-data,2:1.6.7-1+deb10u2
libx265-165:amd64,2.9-4
libxalan-c111,1.11-9
libxapian30:amd64,1.4.11-1+deb10u1
libxau6:amd64,1:1.0.8-1+b2
libxcb-render0:amd64,1.13.1-2
libxcb-shm0:amd64,1.13.1-2
libxcb1:amd64,1.13.1-2
libxcrypt1,1:2.4-4+github1
libxdmcp6:amd64,1:1.1.2-3
libxerces-c3.2:amd64,3.2.2+debian-1+deb10u1
libxext6:amd64,2:1.3.3-1+b2
libxft2:amd64,2.3.2-2
libxi6:amd64,2:1.7.9-1
libxml-security-c20:amd64,2.0.2-3
libxml2-dev:amd64,2.9.4+dfsg1-7+deb10u6
libxml2:amd64,2.9.4+dfsg1-7+deb10u6
libxmlsec1-openssl:amd64,1.2.27-2
libxmlsec1:amd64,1.2.27-2
libxrender1:amd64,1:0.9.10-1
libxslt1-dev:amd64,1.1.32-2.2~deb10u2
libxslt1.1:amd64,1.1.32-2.2~deb10u2
libxt6:amd64,1:1.1.5-1+b3
libxtables12:amd64,1.8.2-4
libxtst6:amd64,2:1.2.3-1
libyajl2:amd64,2.1.0-3
libyaml-0-2:amd64,0.2.1-1
libzstd1:amd64,1.3.8+dfsg-3+deb10u2
linux-base,4.6
linux-image-5.10.0-0.deb10.22-amd64,5.10.178-3~deb10u1
linux-libc-dev:amd64,5.10.120-1~bpo10+1
linux-perf-5.10,5.10.178-3~deb10u1
locales,2.28-10+deb10u2
lockfile-progs,0.1.18
lockrun,1.0+github5
login,1:4.5-1.1
logrotate,3.14.0-4
lsb-base,10.2019051400
lsb-release,10.2019051400
lshw,02.18.85-0.1
lsof,4.91+dfsg-1
lua-bitop:amd64,1.0.2-5
